"","text"
"119","then from there I went to Panther Moccasin. I worked there five years, they closed. I"
"120","was making shoe boxes. They paid pretty good there too, because I was making about"
"121","three or four dollars an hour. And then I went, let me see, I worked at Dainty Bits. They"
"122","were making cookies there. I worked there five years, and then they closed. And I"
"123","worked at, they didn't pay much there, because I was making a dollar and ten an hour."
"124","And then I went to Dori Shoe and worked - ."
"125","AL:     Where was that?"
"126","LB:     Where the mill is, near the New Auburn, (unintelligible) St. Mary's Church is."
"127","AL:     Oh yes, okay."
"128","LB: That big building there, I was on the second floor. I worked there eighteen years."
"129","I was making, I had five jobs. I was a rougher, I was, I had worked on the saw, and I"
"130","worked beveling."
"131","AL:     What?"
"132","LB: Beveling is a machine, and you have to put the sole in it, and you'd turn it with"
"133","your finger, but if you missed, sole would fly off. But I got it the first time I worked on the"
"134","machine. I was good on machines. And I was a stamper. I had five jobs there. Didn't"
"135","pay nothing. They paid about a dollar ninety-five. My mother was making a dollar"
"136","ninety-five, I was making a dollar ninety, and I worked there until 1984. And from there,"
"137","where else did I work. From there, I asked for my walking papers, because my mother"
"138","was, she was eighty-four when she stopped working."
"139","AL:    Eighty-four."
"140","LB: Yeah . I left her here alone in the day time, while I was working , and I had always"
"141","worried about her in the shoe shop. And I said no, I'm not going to do this, I'm going to"
"142","ask for my walking papers, and I did, and I stayed with my mom here for twelve years."
"143","Page 5 of 8"
"144","And then she passed. I didn't work for those twelve years. I stayed with her. I was"
"145","always afraid she'd fall. She was ninety-five when she passed away. After that I said,"
"146","oh gee, I have to find a job, I can't stand this, my mother gone, because I never got"
"147","married. I stayed with them . I says, oh, and then I went to see Mrs. Laurence, a friend"
"148","of mine, and she said Lucy, would you like a job. And I said yeah, I would Mrs."
"149","Laurence. She says, go at Bates College. I said, okay."
"150","So I went to see Mrs. Jordan, and I told her, I said, Mrs. Jordan, my mother just passed"
"151","away, and I'd like to have a job because I can 't stay in the house. She said, well, I'll put"
"152","your thing on top. You know, the paper I filled out. When I went there, I went out and I"
"153","said, well she didn't hire me, so I'll look for a job. So I walked all day for a job, I couldn 't"
"154","find one. And I came back home and I hear the message on the machine, and Mrs."
"155","Jones said, where were you all day, I tried to call you to get (unintelligible) . I said, well"
"156","you didn 't hire me, so I, she said, can you come in this afternoon, and I said yes. And I"
"157","started there with four dollars an hour. And I worked there fifteen years."
"158","AL:     Oh, wow."
"159","LB : I retired , I was seventy-three. I walked out, in other words. I had a problem with"
"160","my boss. Over there too, they picked on you over there, and it was tough. But I didn't"
"161","mind then, because I wasn't home. And I worked nights. I started at three in the"
"162","afternoon to set up the food for the kids. There were seventeen hundred kids. And now"
"163","there's over two thousand. And they have a new building. I haven't seen it yet."
"164","AL:     I haven't been inside, but it looks really nice on the outside. I'm told it's very nice."
"165","LB:     How come you didn't go in?"
"166","AL:     Well, I just haven't been in."
"167","LB:     I can take anybody I want (unintelligible) there because I worked there fifteen"
"168","years. And they used to pick on me, and I picked on them back. I don't know. I'm not"
"169","like the rest of my family. My mother was real soft. And I have a sister that lives in"
"170","Sabattus, she's a beautician, she was, she's not now, because she's four years older"
"171","than I am . I'm seventy-eight. She's eighty-two."
"172","AL: So did you have quite a few of your brothers and sisters living in this area as you"
"173","became an adult? Did you have family all around you?"
"174","LB: Gene and my sister, Gene my brother, and my sister, they lived close together."
"175","But the others, they're all over the state. I have a lot of nephews and nieces. They all"
"176","got married, but me. My brother had eight kids. And when he died , after my father, he"
"177","was forty-two years old. And he says Lucy, I'm going to have a boy this time. His wife"
"178","Page 6 of 8"
"179","was pregnant and she, a little girl was born ten days after he died . He would have been"
"180","disappointed it wasn't a little boy. My brother lived in New Hampshire, Roland, my other"
"181","brother. And my mother had two, a girl and a boy that died. They were twenty months"
"182","old , the both of them, Lucian and Georgette. And then she brought up my nephew, my"
"183","oldest sister's son. He lives in Texas. He was in the Secret Service for thirty-two years"
"184","and now he's retired . He's only six years younger than me. He's like a brother because"
"185","my mother brought him up, he's like a brother to me."
"186","AL: And with so many children, there must have been a pretty big age difference"
"187","between you and your sister."
"188","LB:      My oldest sister? She was nine years older than me. And my brother was ten"
"189","years, my oldest brother was ten years older than I was. My mother had, she has two"
"190","couples, they're the same age for a month, my brother and my sister. She had them"
"191","quick. I used to say to my father, no TV, dad, in those days? Shut up, he used to say."
"192","used to pick on him."
"193","AL:      Your mother must have done a lot of cooking."
"194","LB:      Cooking and sewing. My mother was a seamstress."
"195","AL:      Oh, she was."
"196","LB:      She was so good . She'd take anything and she would make it new. Isn't that"
"197","something. I remember when I was two years old, she made me a little dress, and my"
"198","shoes, my white shoes, she made those. She made me a little hat, and a coat. And the"
"199","dress was from a doll. The doll was that high and she made me a dress out of that."
"200","And the coat that she had on. And she made me the little panties the same color."
"201","AL:      Oh, that sounds beautiful."
"202","LB: We were in Canada then. I was two years old. And we were walking on the"
"203","sidewalk, and I walked like this, I remember that. My mother said, why you walking with"
"204","your arms out like that. I don't want to wear my coat out. I remember. And then my"
"205","· brother, he was twelve, and I was two, and he took me to the dentist, and he wanted to"
"206","sit me in the chair, and I said no, I can do it myself. I remember, it was a leather chair,"
"207","and I got on the chair and had my teeth all pulled out. I didn't have no ivory on my"
"208","teeth . My mother didn't have the stuff that she needed , you know, the food that she"
"209","needed, because it was the Depression then."
"210","AL:      Oh, right."
"211","LB: One year we'd eat frozen potatoes and the next year we'd eat bread . That's it."
"212","And we were happy as a lark when we were all together, the ten of us. My father would"
"213","Page 7 of 8"
"214","look at us like this, and boy, they'd take off, and I'd say, wait for me. I remember, I was"
"215","two years old, I used to tell them, wait for me. I didn't want them to go without me. It's"
"216","funny how things are. I think of that sometimes, and tears in my eyes, because I miss"
"217","my mom ."
"218","AL:    She sounds like she was a wonderful , long part of your life."
"219","LB:    She was. I loved my dad too."
"220","AL:    Thank you."
"221","End of Interview."
"222","Page 8 of 8"
